"","IWDA.L.Open","IWDA.L.High","IWDA.L.Low","IWDA.L.Close","IWDA.L.Volume","IWDA.L.Adjusted"
"2019-03-22",56.2999992370605,56.2999992370605,54.8699989318848,55.185001373291,1202744,55.185001373291
"2019-03-29",55.5299987792969,56.7900009155273,55.3899993896484,56.5499992370605,1536275,56.5499992370605
"2019-04-04",56.7099990844727,57.0099983215332,56.5800018310547,56.75,1531320,56.75
"2019-04-11",56.9000015258789,57.4500007629395,56.7299995422363,57.0499992370605,2929424,57.0499992370605
"2019-04-18",57.0499992370605,57.560001373291,57.0499992370605,57.2599983215332,2386134,57.2599983215332
"2019-04-25",57.25,57.9599990844727,57.0699996948242,57.1199989318848,2251197,57.1199989318848
"2019-05-02",57.2900009155273,57.6699981689453,55.5499992370605,55.689998626709,1448351,55.689998626709
"2019-05-09",56.189998626709,56.5499992370605,55.1500015258789,56.5499992370605,1462360,56.5499992370605
"2019-05-16",56.3199996948242,56.4599990844727,55.2099990844727,55.2999992370605,1947656,55.2999992370605
"2019-05-23",55.6399993896484,55.8199996948242,54.6199989318848,54.8499984741211,1344967,54.8499984741211
"2019-05-30",54.5999984741211,55.8899993896484,53.939998626709,55.8199996948242,3447534,55.8199996948242
"2019-06-06",56.0200004577637,57.2200012207031,56.0200004577637,56.7299995422363,1185207,56.7299995422363
"2019-06-13",56.7299995422363,58.1699981689453,56.4799995422363,57.8300018310547,2622739,57.8300018310547
"2019-06-20",57.8300018310547,58.0800018310547,57.3699989318848,57.5,1355828,57.5
"2019-06-27",57.6800003051758,58.9500007629395,57.6800003051758,58.9500007629395,1960759,58.9500007629395
"2019-07-04",58.939998626709,58.939998626709,57.9900016784668,58.6599998474121,1545778,58.6599998474121
"2019-07-11",58.7299995422363,59.0200004577637,58.1800003051758,58.2200012207031,1176714,58.2200012207031
"2019-07-18",58.7400016784668,59.1599998474121,58.310001373291,58.7599983215332,2234018,58.7599983215332
"2019-07-25",58.7799987792969,58.9900016784668,57.9199981689453,58.6199989318848,2407995,58.6199989318848
"2019-08-01",57.4799995422363,57.6199989318848,55.024299621582,56.9799995422363,2376706,56.9799995422363
"2019-08-08",57.0699996948242,57.1500015258789,55,55.4000015258789,1805174,55.4000015258789
"2019-08-15",55.7200012207031,57.0900001525879,55.4674987792969,56.6699981689453,1736308,56.6699981689453
"2019-08-22",56.9700012207031,57.0200004577637,55.7000007629395,56.8899993896484,804151,56.8899993896484
"2019-08-29",56.8899993896484,58.1599998474121,56.4700012207031,58.0800018310547,2252246,58.0800018310547
"2019-09-05",58.060001373291,58.9199981689453,57.810001373291,58.7999992370605,1430228,58.7999992370605
"2019-09-12",58.9799995422363,59.0900001525879,58.4900016784668,59.0499992370605,1341880,59.0499992370605
"2019-09-19",58.9799995422363,59.0299987792969,57.810001373291,58.1500015258789,883102,58.1500015258789
"2019-09-26",58.3300018310547,58.7799987792969,56.0699996948242,56.6599998474121,1485252,56.6599998474121
"2019-10-03",56.9900016784668,57.7299995422363,56.7000007629395,57.6300010681152,2913225,57.6300010681152
"2019-10-10",57.810001373291,59.0999984741211,57.7200012207031,58.8499984741211,799211,58.8499984741211
"2019-10-17",58.8499984741211,59.3300018310547,58.6699981689453,59.2900009155273,1828133,59.2900009155273
"2019-10-24",59.2700004577637,60,59.0800018310547,59.5099983215332,1189459,59.5099983215332
"2019-11-01",59.8800010681152,60.8600006103516,59.7999992370605,60.7799987792969,1003590,60.7799987792969
"2019-11-08",60.5999984741211,60.8899993896484,60.3499984741211,60.560001373291,1285457,60.560001373291
"2019-11-15",60.6699981689453,61.4300003051758,60.6199989318848,60.7099990844727,1111232,60.7099990844727
"2019-11-22",60.8699989318848,61.6699981689453,60.7299995422363,61.6199989318848,852057,61.6199989318848
"2019-11-29",61.4599990844727,61.7200012207031,54.9500007629395,60.9300003051758,1539161,60.9300003051758
"2019-12-06",61.0999984741211,62.1300010681152,60.9900016784668,61.8400001525879,2478423,61.8400001525879
"2019-12-13",62.4199981689453,62.7900009155273,61.9799995422363,62.6800003051758,1949350,62.6800003051758
"2019-12-20",62.6800003051758,63.1100006103516,62.6800003051758,63.060001373291,1703702,63.060001373291
"2019-12-27",63.4799995422363,63.6599998474121,62.939998626709,63.3800010681152,2316204,63.3800010681152
"2020-01-03",63.1100006103516,63.9000015258789,62.7299995422363,63.7900009155273,1282278,63.7900009155273
"2020-01-10",64.0100021362305,64.4300003051758,63.7000007629395,64.379997253418,2093096,64.379997253418
"2020-01-17",64.6800003051758,64.9000015258789,64.1999969482422,64.2600021362305,1486787,64.2600021362305
"2020-01-24",64.6999969482422,64.8600006103516,62.9500007629395,63.2700004577637,1469843,63.2700004577637
"2020-01-31",63.6800003051758,65.0400009155273,62.7999992370605,64.8199996948242,1479759,64.8199996948242
"2020-02-07",64.7099990844727,65.3499984741211,64.25,65.2900009155273,971632,65.2900009155273
"2020-02-14",65.3399963378906,65.4100036621094,64.6100006103516,64.6100006103516,709375,64.6100006103516
"2020-02-21",64.9000015258789,64.9000015258789,58.5,59.4799995422363,2931740,59.4799995422363
"2020-02-28",57.4799995422363,60.4500007629395,55.8499984741211,59.4199981689453,4550076,59.4199981689453
"2020-03-06",58.0099983215332,58.310001373291,47.4099998474121,47.6699981689453,4300268,47.6699981689453
"2020-03-13",49.75,50.7200012207031,44.0900001525879,45.4099998474121,6310243,45.4099998474121
"2020-03-20",47.5499992370605,50.1800003051758,42.4700012207031,50.1800003051758,5778109,50.1800003051758
"2020-03-27",49.7400016784668,50.7700004577637,47.2700004577637,48.3600006103516,4293240,48.3600006103516
"2020-04-02",48.2900009155273,53.5,47.7799987792969,53.1800003051758,1856026,53.1800003051758
"2020-04-09",53.1800003051758,54.2000007629395,52.4000015258789,52.7299995422363,783261,52.7299995422363
"2020-04-16",54.3300018310547,54.4199981689453,51.9000015258789,53.6699981689453,2297979,53.6699981689453
"2020-04-23",52.7099990844727,56.3300018310547,52.5,55.2799987792969,2237405,55.2799987792969
"2020-04-30",54.0400009155273,54.8499984741211,53.0200004577637,54.8499984741211,1487220,54.8499984741211
"2020-05-07",54.8499984741211,55.9799995422363,52.5999984741211,53.2400016784668,882062,53.2400016784668
"2020-05-14",54.0900001525879,56.6300010681152,53.5400009155273,55.939998626709,1482897,55.939998626709
"2020-05-21",55.2799987792969,58.4099998474121,55.1500015258789,58.3199996948242,2401945,58.3199996948242
"2020-05-28",57.939998626709,60.2700004577637,1,60.0200004577637,2525318,60.0200004577637
"2020-06-04",60.4199981689453,61.8699989318848,59.1399993896484,59.2099990844727,2037590,59.2099990844727
"2020-06-11",58.2999992370605,60.7599983215332,56.8400001525879,59.8400001525879,2634911,59.8400001525879
